Sample_ID,TTC9B,C4orf3,ING5,GNG7,LIN9,RNF167,TCF7,EN2,MAPKAPK3,AHSG,LSM10,DAD1,UAP1L1,PDCD1,REN,ITGB6,RFTN1,ATP5F1C,LRP8,DUSP1,CNIH3,DDX60L,HPS1,IL33,HCFC1R1,STXBP2,UGT2B15,TMEM184C,ATN1,TMEM119,FREM1,AADAC,L3MBTL2,RFLNA,BRCA2,ACTL7B,MRPS6,ZC3H3,POP4,TPO,PCDHA7,COG2,BRICD5,ATXN3L,PYROXD2,GPR68,PKD2L1,ROBO4,ZNF197,TTC1,FAM118A,COL7A1,ZNF10,PGPEP1,SIGIRR,FAM187B,CRIP2,ANXA13,ELOC,RNF148,TNPO1,CCR6,MFSD10,NME8,TCF12,PDCD10,RUNDC3A,MAP3K19,AATF,HOXD8,C1QTNF5,SCGB2A1,HLA-DRB5,TDRD1,ZXDC,STK19,ISX,ARSF,CPEB4,CCR9,DRD2,SLC25A33,NEDD8,SIPA1L1,CTNND2,PCBP4,KANSL3,RCCD1,FABP6,MOB1A,NEUROD4,MAGEB6,ADSL,PDE4D,C11orf49,ENOSF1,AKAP8,FAM199X,FBXL16,MANSC1
ACH-000667,0.070389328,2.666756592,3.98458935,0.056583528,1.891419187,5.156639311,3.435628594,0.0,4.199279721,0.201633861,4.126807703,7.980482356,0.855989697,0.163498732,0.084064265,0.111031312,3.244887059,7.177519203,5.334854269,6.279285561,1.604071324,3.508428653,3.464668267,0.042644337,4.157852169,5.414473836,0.0,3.757023247,4.339850003,0.201633861,0.056583528,2.350497247,3.410069692,0.150559677,1.66448284,0.028569152,4.835924074,2.063502942,6.028790136,0.0,0.275007047,4.145677455,1.40599236,0.0,1.14404637,3.140778656,0.0,0.495695163,2.572889668,5.321206567,3.046141782,6.85623876,1.819668183,1.815575429,3.794935663,0.0,3.319039816,0.042644337,6.132165525,0.070389328,5.813268142,0.0,5.026800059,0.0,3.19061486,5.358255587,0.422233001,0.0,4.802193217,0.176322773,0.22650853,0.0,1.790772038,2.675815931,3.635754391,4.248686627,0.0,0.0,3.653060017,0.0,0.0,2.956056652,7.557348818,5.798309782,0.0,2.952333566,3.817623258,2.217230716,1.748461233,4.712045449,0.0,0.0,5.765799923,4.158660175,3.399171094,5.814294058,4.256255873,3.450221496,0.485426827,1.887525271
ACH-000739,0.014355293,6.696272084,5.299391206,1.790772038,2.169925001,5.401903472,3.459431619,0.0,4.819668183,11.73314246,5.298291731,8.779522387,2.695993813,0.084064265,0.056583528,0.042644337,0.286881148,8.552054236,3.249445341,3.368768349,0.622930351,0.189033824,4.263785614,0.028569152,4.19298317,5.054848477,0.042644337,3.50589093,4.63284983,0.014355293,3.867896464,1.03562391,3.64385619,0.028569152,2.370164281,0.042644337,4.378511623,3.092545742,5.412781525,0.0,0.565597176,4.016139703,1.726831217,0.0,1.731183242,0.163498732,0.070389328,0.555816155,1.803227036,4.931210275,4.264536431,1.416839742,2.140778656,4.034743949,1.769771739,0.0,4.521678952,0.622930351,5.873074932,0.070389328,4.613531653,2.523561956,4.723558561,0.0,3.934516502,4.926473911,0.124328135,0.0,4.98458935,0.0,0.565597176,0.0,0.014355293,0.0,3.424922088,3.950468414,1.310340121,0.0,3.292781749,0.014355293,0.056583528,4.026800059,9.223639749,3.50589093,0.028569152,4.773996325,4.222650022,3.596935142,0.0,5.104755987,0.0,0.070389328,6.21451341,1.280956314,3.523561956,4.306699707,3.803227036,2.957914599,1.963474124,2.763411574
ACH-001786,0.111031312,4.384049807,3.969933275,3.685940148,2.650764559,5.859472667,0.918386234,1.974529312,5.384049807,0.344828497,5.431957188,7.12649799,1.66448284,0.0,0.014355293,4.071247819,0.526068812,8.762946714,4.744699314,2.462052319,1.189033824,1.378511623,4.524815928,8.789207575,5.277612871,6.389050488,0.111031312,3.752748591,4.493775408,0.0,0.0,0.0,3.708187236,2.23878686,1.910732662,0.0,5.317955218,2.389566812,6.467768557,0.748461233,0.014355293,4.14404637,2.097610797,0.0,0.201633861,0.263034406,0.070389328,0.0,2.827819025,5.41040895,3.319039816,0.992768431,1.15704371,4.091699834,4.996388746,0.0,2.482848283,0.014355293,6.302501844,0.545968369,5.59454855,0.0,4.672425342,0.0,4.438292852,6.505096975,0.111031312,0.056583528,6.055065473,1.304511042,0.0,0.0,2.100977648,0.0,3.438292852,3.305970521,4.03562391,0.0,1.97819563,0.604071324,0.028569152,2.845991771,7.601325099,3.925999419,0.042644337,4.635754391,3.575312331,3.760220946,1.117695043,5.631686366,0.0,0.042644337,6.284662185,2.456806149,3.913607512,4.3950628,3.803227036,4.022367813,3.049630768,4.038260575
ACH-001655,0.40053793,5.785550552,3.514753498,0.910732662,2.327687364,6.506049668,1.799087306,0.0,3.077242999,0.097610797,5.928370323,7.785288981,2.469885976,0.0,0.042644337,0.056583528,5.496973581,8.406545173,2.182692298,4.484138131,3.215678597,3.042644337,2.443606651,0.0,6.666046429,0.918386234,0.014355293,2.653060017,4.416839742,4.837943242,0.0,0.286881148,2.367371066,1.970853654,0.887525271,0.0,6.517433184,2.613531653,6.319943024,0.097610797,0.432959407,2.13422094,1.344828497,0.0,2.260025656,0.650764559,0.344828497,0.150559677,2.759155834,5.782408565,2.344828497,6.313971371,1.650764559,1.516015147,0.871843649,0.0,4.991861931,0.014355293,7.572813895,0.0,4.71918344,0.028569152,4.422905743,0.056583528,3.99004722,4.157852169,0.367371066,0.0,5.495375381,2.087462841,0.014355293,0.0,0.0,0.0,1.757023247,4.059182199,0.0,0.0,2.49057013,0.0,0.124328135,2.46727948,8.522620761,4.549053029,0.028569152,3.720278465,3.541019153,3.368768349,2.260025656,4.720278465,0.0,0.263034406,5.356495988,0.887525271,4.000901403,0.40053793,2.6622055,3.486714373,0.042644337,1.280956314
ACH-000279,0.056583528,5.264536431,5.142413438,0.678071905,4.29130886,6.09212285,0.807354922,0.014355293,3.846994687,1.669026766,6.746850183,7.832826737,3.016139703,0.124328135,0.0,0.028569152,0.263034406,8.3683755,4.406672716,3.568032105,2.241840184,1.475084883,4.59275601,0.137503524,5.313971371,5.258141996,0.0,3.518535139,6.73403214,0.176322773,2.885574364,0.056583528,4.588564737,1.722466024,2.684818738,0.084064265,6.198101209,4.319762428,6.377123749,0.014355293,0.464668267,4.309612772,3.237257771,0.0,3.365972428,0.028569152,0.333423734,0.042644337,3.548436625,5.589763487,5.659924558,2.301587647,3.944858446,1.63691458,2.754887502,0.0,6.030998118,0.189033824,8.273376015,0.389566812,5.729824644,0.0,5.69849632,0.0,6.147713722,5.683415747,0.124328135,0.0,5.986410935,4.35473424,0.124328135,0.0,0.042644337,0.0,3.704871964,4.360364277,0.014355293,0.014355293,1.691534165,0.028569152,0.111031312,4.358255587,8.387155718,6.168922782,0.765534746,4.08236197,5.579240501,5.319762428,1.835924074,5.660495132,0.0,0.454175893,6.553667688,0.970853654,4.962549023,4.128458384,4.34269696,3.401903472,0.163498732,3.333423734
ACH-001674,2.618238656,5.282069075,5.175524601,0.124328135,3.709290636,5.552745937,2.655351829,0.0,3.187451054,0.084064265,5.529820947,7.426600226,3.516015147,0.0,0.014355293,0.014355293,3.382667253,8.616879615,4.418189948,3.50589093,0.604071324,0.056583528,0.0,0.0,4.591559746,0.310340121,0.0,3.807354922,5.591260525,1.077242999,0.464668267,0.0,4.259272487,1.220329955,3.775050541,0.0,5.443275112,2.967168608,5.87897051,0.056583528,0.378511623,4.482848283,2.438292852,0.0,1.618238656,0.214124805,0.014355293,0.014355293,3.552131108,4.899659026,3.750606505,1.40053793,2.615887074,2.3950628,3.572889668,0.0,4.902556005,0.0,6.504938132,0.0,5.679198571,0.0,5.907611763,0.0,5.540709263,4.596935142,2.140778656,0.0,5.949301468,3.56924803,0.214124805,0.0,0.0,0.0,2.813524689,4.547203025,0.0,0.0,1.678071905,0.0,0.263034406,4.415488271,8.282764115,3.276496666,4.792334806,6.70860111,4.375039431,4.438292852,0.659924558,4.893362211,0.0,0.0,7.894272103,0.963474124,5.417852515,0.555816155,3.9800253,3.498250868,3.458119481,2.737686761
ACH-000622,0.201633861,6.189429246,5.639232163,0.526068812,3.604071324,7.468257468,4.432291338,4.253989266,0.695993813,0.163498732,6.045268215,7.623735202,3.343407822,0.0,0.0,0.014355293,4.940636607,7.954370819,4.984133595,5.215678597,5.803485376,1.786596362,5.370164281,0.0,5.7977912,2.244887059,0.0,4.393004257,6.709014865,0.111031312,0.748461233,0.0,4.391630262,2.485426827,2.364572432,0.056583528,7.508824769,2.788685711,6.775709036,0.0,0.056583528,4.702103407,3.754887502,0.014355293,3.464668267,0.056583528,0.042644337,0.028569152,3.418189948,5.752748591,3.695993813,3.689299161,2.782408565,4.408032466,0.298658316,0.0,8.193328224,0.422233001,6.482041542,0.028569152,5.277612871,0.028569152,6.256255873,0.0,5.413120146,6.483493351,2.526068812,0.650764559,5.929080835,3.140778656,1.361768359,0.0,7.157751137,0.028569152,3.927896454,4.859969548,0.014355293,0.097610797,2.904965719,0.0,4.292781749,2.472487771,7.997631135,6.024364009,4.320484678,5.069100632,5.5987225,4.047887329,1.526068812,6.016362599,0.0,0.310340121,5.589763487,2.565597176,6.533874777,1.510961919,4.541638734,4.257764969,1.22650853,3.209453366
ACH-000722,0.084064265,4.741466986,4.576522138,0.0,3.246408087,6.227086417,5.452858965,2.039138394,5.173926932,0.070389328,5.315421316,7.9375798,2.14404637,0.0,3.708187236,2.292781749,0.286881148,9.05482135,5.082787732,1.883620816,0.765534746,0.378511623,4.596338864,2.464668267,3.974529312,6.49057013,0.214124805,3.386810946,4.458119481,0.014355293,0.0,0.389566812,4.024142346,2.867896464,3.957914599,0.014355293,5.770036139,3.722466024,6.748058639,0.097610797,0.014355293,4.557655155,2.759155834,0.0,0.963474124,0.0,0.070389328,0.014355293,2.166715445,5.527320608,4.908812908,1.292781749,1.077242999,2.942983598,4.957914599,0.0,2.827819025,1.40053793,6.757289992,0.0,4.811471031,0.0,5.239550797,0.0,3.026800059,6.628044483,0.333423734,0.014355293,6.084276911,0.028569152,0.028569152,0.176322773,0.028569152,0.0,4.062639828,4.414135533,3.075532631,0.0,2.684818738,0.014355293,0.0,2.40053793,8.012736263,4.608217853,0.0,4.132576843,3.720278465,5.147306699,0.98550043,5.158660175,0.0,0.042644337,5.818134761,1.531069493,4.338424415,4.891419187,4.399171094,4.485426827,1.748461233,5.330199833
ACH-000517,0.214124805,4.632268215,4.262282806,0.765534746,2.969012308,4.843983844,2.821710215,1.887525271,4.580145484,0.124328135,4.820178962,7.864990857,2.9202933,0.250961574,0.028569152,0.056583528,0.35614381,8.453846774,3.618238656,5.475409193,2.275007047,4.720278465,5.133810091,0.263034406,5.49057013,5.823239844,0.014355293,3.650764559,4.833902077,0.137503524,0.0,2.244887059,4.701549057,5.813781191,1.906890596,0.0,5.831370588,2.959770155,7.154413085,0.124328135,0.0,3.720278465,2.319039816,0.0,3.100977648,0.678071905,0.070389328,0.411426246,3.374343989,6.828072998,5.348019909,4.702657543,2.799087306,3.541019153,2.682573297,0.0,4.429615964,0.0,7.064581109,0.084064265,5.784242222,0.0,3.9202933,0.0,4.107687869,6.283366213,1.989139007,0.0,6.12287975,0.0,0.411426246,0.0,1.298658316,2.440952198,3.49441561,3.605257263,0.0,0.0,3.360364277,0.056583528,0.201633861,1.531069493,8.559224113,4.09085343,0.124328135,3.828834649,4.257764969,4.454833907,0.0,6.019924261,0.0,0.0,4.709290636,2.364572432,4.586164246,3.90014226,3.513490746,4.617063344,2.09085343,2.577730931
ACH-000471,0.070389328,5.015247774,4.229587923,0.042644337,3.187451054,6.268097486,2.792855352,2.931683057,4.408711861,0.622930351,5.90833257,8.54326387,3.541019153,0.0,3.533563348,1.207892852,4.853995647,9.072025386,4.708739041,6.134631671,2.263034406,1.599317794,5.035183997,0.028569152,4.718635616,4.874305166,1.097610797,4.116031993,6.171927354,0.028569152,0.150559677,1.948600847,3.787641414,1.070389328,2.007195501,0.0,5.114367025,3.557042415,7.125051783,0.0,3.303050085,4.767125077,2.521050737,0.0,2.550900665,0.056583528,0.014355293,0.014355293,3.047887329,6.229972385,3.452858965,4.224194664,3.012568674,4.244887059,5.37086174,0.0,3.681449265,5.920055055,7.130416118,0.0,6.247927513,0.0,5.3652726,0.0,5.221103725,5.208283138,0.632268215,0.0,6.427103287,1.244887059,0.0,0.097610797,0.201633861,0.0,3.285402219,4.402585758,0.042644337,0.0,4.491853096,0.014355293,0.0,2.424922088,8.050284014,3.625270489,4.739848103,3.414135533,4.432959407,4.316145742,2.914564523,5.475409193,0.0,0.111031312,6.357024093,3.509695842,5.27686883,6.229587923,3.988230223,4.375734539,0.879705766,5.542877099
ACH-000223,0.485426827,6.233811384,3.066950244,1.495695163,3.307428525,7.192391457,1.859969548,1.589763487,6.185866545,0.378511623,5.078951341,8.132422612,1.811471031,0.0,0.855989697,3.974529312,1.659924558,8.45955457,3.827819025,5.582254908,1.752748591,6.296640945,4.931683057,0.042644337,5.376429311,6.759688488,0.014355293,4.325530332,6.177120503,0.014355293,0.0,0.0,3.82374936,1.14404637,3.67468662,0.014355293,5.185470146,4.909293086,6.836807808,0.084064265,0.042644337,3.806324057,3.089159132,0.0,3.582556003,0.275007047,0.0,1.650764559,2.080657663,6.733354341,4.575312331,2.992768431,2.584962501,3.137503524,4.279471296,0.028569152,5.616769366,0.042644337,7.213541702,0.028569152,5.229972385,0.0,5.012121673,0.0,2.827819025,6.853496704,1.207892852,0.028569152,6.043081982,0.0,0.475084883,0.310340121,1.214124805,0.028569152,4.260778432,5.452858965,0.028569152,0.0,4.46008724,0.0,0.678071905,2.587364991,8.979739567,4.270528942,0.137503524,4.274261661,4.710944155,5.51696066,0.575312331,5.787641414,0.0,0.0,5.546585829,0.124328135,4.203984166,5.352617299,5.244125943,3.827819025,3.224966365,4.986865972
