Sample_ID,TTC9B,C4orf3,ING5,GNG7,LIN9,RNF167,TCF7,EN2,MAPKAPK3,AHSG,LSM10,DAD1,UAP1L1,PDCD1,REN,ITGB6,RFTN1,ATP5F1C,LRP8,DUSP1,CNIH3,DDX60L,HPS1,IL33,HCFC1R1,STXBP2,UGT2B15,TMEM184C,ATN1,TMEM119,FREM1,AADAC,L3MBTL2,RFLNA,BRCA2,ACTL7B,MRPS6,ZC3H3,POP4,TPO,PCDHA7,COG2,BRICD5,ATXN3L,PYROXD2,GPR68,PKD2L1,ROBO4,ZNF197,TTC1,FAM118A,COL7A1,ZNF10,PGPEP1,SIGIRR,FAM187B,CRIP2,ANXA13,ELOC,RNF148,TNPO1,CCR6,MFSD10,NME8,TCF12,PDCD10,RUNDC3A,MAP3K19,AATF,HOXD8,C1QTNF5,SCGB2A1,HLA-DRB5,TDRD1,ZXDC,STK19,ISX,ARSF,CPEB4,CCR9,DRD2,SLC25A33,NEDD8,SIPA1L1,CTNND2,PCBP4,KANSL3,RCCD1,FABP6,MOB1A,NEUROD4,MAGEB6,ADSL,PDE4D,C11orf49,ENOSF1,AKAP8,FAM199X,FBXL16,MANSC1
ACH-000464,0.914425391,0.871705667,0.901466135,0.907515653,0.8967555,0.998384905,1.100401993,1.316745218,1.094133313,1.114578538,0.870465988,1.030979129,1.035887033,0.901466135,0.8967555,0.901466135,1.094133313,0.855203316,0.870465988,1.065923593,0.8967555,0.871705667,0.863813288,1.086962623,0.952426697,0.907515653,0.871705667,0.871705667,0.972502155,0.952343583,1.086962623,1.114578538,1.141683244,0.952343583,1.056658137,1.066405258,0.961095142,1.017416879,0.93673884,0.901466135,1.100401993,0.8967555,0.952426697,0.617601521,0.863813288,1.030979129,0.863813288,0.908305424,1.094133313,1.100401993,1.141683244,1.094133313,0.952343583,0.907515653,0.872066707,0.93673884,1.030979129,1.017416879,1.017416879,1.376530379,1.100401993,1.095713407,0.852156865,1.341215259,1.092439505,1.114578538,1.31053696,0.901466135,1.324907642,0.901466135,0.908305424,0.886225347,1.059512498,0.863813288,1.114578538,1.059512498,1.141683244,0.617601521,1.065923593,1.094133313,0.908305424,0.870465988,1.030979129,1.030979129,1.100401993,1.094133313,0.901466135,1.092439505,1.100401993,0.901466135,0.972502155,0.617601521,1.141683244,1.100401993,0.912391032,1.089272849,0.907515653,0.650601263,0.952426697,0.972502155
ACH-000734,1.337508414,0.755394602,1.026656809,0.91675314,1.133306766,1.025545739,0.924164761,0.986365543,0.915375431,1.099623634,0.738572335,0.914744654,1.088090844,1.026656809,1.133306766,1.026656809,0.895097549,1.054668064,1.062807303,0.923130219,1.133306766,0.755394602,0.91384482,0.662476473,1.343413633,0.91675314,0.83206348,0.755394602,1.072067702,1.072067702,0.662476473,1.099623634,0.914074764,1.072067702,1.105330846,1.088090844,0.737505146,1.100627727,1.337508414,1.026656809,1.085293704,1.133306766,0.819071232,0.539151017,0.91384482,0.904658209,0.91384482,0.860849554,0.915375431,0.923130219,0.914074764,0.915375431,1.072067702,0.917539252,0.923167557,1.337508414,0.91922648,1.100627727,0.974655604,0.986365543,1.231017663,0.924803015,0.901764945,1.282480358,1.040395672,1.099623634,1.025033999,1.026656809,1.025033999,1.026656809,0.860849554,1.426157698,0.939026555,0.91384482,0.915375431,0.939026555,0.924522882,0.539151017,0.923130219,0.915375431,0.860849554,0.743341605,0.914744654,0.904658209,1.231017663,0.915375431,1.026656809,1.040395672,0.923130219,1.026656809,1.072067702,0.539151017,0.914074764,1.231017663,1.189787488,0.80112971,0.91675314,0.539151017,0.819071232,1.072067702
ACH-001736,1.004208119,0.997456746,0.986409621,1.004208119,1.016307133,1.009422571,1.011751474,1.006959204,1.01118704,1.01118704,1.012418492,1.00773412,1.005700719,0.986409621,1.016307133,0.99732199,1.01118704,1.007877892,1.012418492,1.011751474,1.016307133,0.997456746,1.007877892,1.005700719,0.997987406,1.004208119,1.000231018,0.997456746,1.015000179,1.000719179,1.005700719,1.01118704,1.011724256,1.000719179,1.017757963,1.005700719,1.016194889,1.376458442,1.004208119,0.99732199,1.011751474,1.016307133,0.997987406,0.921914225,1.007877892,1.00773412,1.007877892,1.011415307,1.01118704,1.011751474,1.011724256,1.01118704,1.000719179,1.004208119,1.016206518,1.004208119,1.00773412,1.317896558,0.999497088,1.006959204,1.011751474,1.005819189,0.624861201,1.006959204,1.35236519,1.01118704,1.009422571,0.99732199,1.009422571,0.99732199,1.011415307,1.016865442,1.009694354,1.007877892,1.01118704,1.009694354,1.011724256,0.921914225,1.011751474,1.01118704,1.011415307,1.009984311,1.00773412,1.00773412,1.011751474,1.01118704,0.99732199,1.35236519,1.011751474,0.99732199,1.000719179,0.921914225,1.011724256,1.011751474,0.603280271,0.987705338,1.004208119,0.921914225,0.997987406,1.015000179
ACH-000362,1.265127423,0.95704563,0.9663386,1.258787066,0.974120366,0.970105786,0.970866727,0.963690732,0.969741133,0.969741133,0.974120366,0.981795327,0.970916687,0.9663386,0.974120366,0.9663386,0.968345573,0.964759214,0.974120366,0.970866727,0.974120366,0.95704563,0.964759214,0.966405484,0.961935298,1.258787066,0.95704563,0.95704563,0.977457909,0.977457909,0.966405484,0.969741133,0.967532758,0.977457909,1.290963885,0.970916687,0.97006026,1.719189196,1.238140015,0.886500762,0.970866727,0.974120366,0.961935298,0.571109029,0.964759214,0.965808032,0.964759214,0.966689658,0.969741133,0.970866727,0.967532758,0.969741133,0.977457909,1.238140015,0.974103674,1.238140015,1.037212891,1.760140789,1.728431257,0.963690732,0.963682449,1.281348779,0.940006712,0.968431623,0.973874913,0.969741133,0.972947,0.9663386,0.972947,0.9663386,0.966689658,0.974103674,1.272813133,0.964759214,0.969741133,1.272813133,0.967532758,0.571109029,0.970866727,0.969741133,0.966689658,0.974120366,0.981795327,0.965808032,0.963682449,0.969741133,0.9663386,0.973874913,0.970866727,0.9663386,0.977457909,0.571109029,0.967532758,0.963682449,0.974103674,0.968828699,1.258787066,0.571109029,0.961935298,0.977457909
ACH-000957,0.99932166,1.039285229,1.018246446,1.004849624,1.028742736,0.990495019,1.039149689,1.029363367,1.009021532,1.030859648,0.998883432,1.0409476,0.993082663,1.018246446,1.028742736,1.037006274,1.048907371,1.028675436,0.998883432,1.032649278,1.028742736,1.039285229,1.034386272,1.054209178,1.023120851,1.004849624,1.044818229,1.039285229,1.044914077,1.034738415,1.054209178,1.030859648,0.999376135,1.034738415,1.015343231,1.067930628,1.012964231,1.042219231,0.99932166,1.033718551,1.039149689,1.028742736,1.023120851,0.630802482,1.034386272,1.020528506,1.043558338,1.04062793,1.009021532,1.032649278,0.999376135,1.009021532,1.034738415,1.004849624,1.051647096,0.99932166,1.016926647,1.042219231,1.042219231,1.036749965,1.03659005,1.032859902,1.027581208,1.042890182,0.608772689,1.030859648,0.99646983,1.037006274,0.99646983,1.037006274,1.04062793,1.04062793,0.999811512,1.043558338,1.030859648,0.999811512,0.999376135,0.630802482,1.032649278,1.009021532,1.04062793,1.003297259,1.0409476,1.019546648,1.072708078,1.009021532,1.045409901,1.011078714,1.032649278,1.033718551,1.034738415,0.630802482,0.999376135,1.03659005,1.051647096,1.045063014,1.004849624,0.638718422,1.023120851,1.044914077
ACH-000211,1.054249617,0.664853657,0.921696091,1.051771839,1.077728276,1.086556741,1.150949819,1.364876548,0.794706014,1.172358811,1.078283014,1.249878587,1.222525855,0.921696091,1.053526544,1.027685653,0.834138868,0.824973181,1.12228305,1.136935577,1.077728276,0.665383324,0.804290487,1.387324737,0.832861861,1.051771839,0.645038209,0.664853657,1.154632611,1.119418825,0.650725414,1.213161262,0.94864729,1.131103905,0.823517797,1.428522811,1.222177862,0.98056914,1.124499807,1.136322251,1.140502623,1.077728276,0.832861861,0.605675618,0.804290487,1.202088564,0.804290487,0.983027031,0.794706014,1.204846124,0.94864729,0.794706014,0.762239093,1.051771839,0.882536655,1.054249617,1.234855652,0.98056914,1.026447052,1.718635699,1.185420351,0.704410314,0.987380183,1.528684667,0.955326817,1.213161262,0.757843309,1.008830863,0.751398259,1.014917838,0.95751945,0.933976983,1.264406389,0.838345619,1.170901324,1.264406389,0.94864729,0.605675618,1.136935577,0.794706014,0.95751945,1.077917202,1.249878587,1.238335892,1.048142895,0.794706014,0.938221627,0.941091569,1.204846124,0.978816837,1.089358711,0.605675618,0.94864729,1.185420351,0.970360855,0.656046916,1.051771839,0.619327618,0.832861861,0.563511575
ACH-000584,1.354599557,0.741718286,0.751268762,0.758366481,1.102502029,0.749457999,0.748078544,1.326492596,0.744882542,1.282392612,0.989351094,1.480593253,0.765913712,0.751268762,1.374888684,0.978123422,1.19279804,0.888773914,0.989351094,1.663946176,1.102502029,1.026617096,1.164324785,0.745010794,0.756148161,0.758366481,1.041682271,1.026617096,0.966681845,1.127225461,0.745010794,1.282392612,0.739522385,1.127225461,1.436397232,0.781037782,0.962526684,1.294322927,1.354599557,1.001063392,1.357740311,1.233507473,0.756148161,1.109468296,1.164324785,0.909034917,1.164324785,1.071090589,0.744882542,1.357740311,0.739522385,0.744882542,1.127225461,1.354599557,0.749721397,1.354599557,0.909034917,1.399706388,1.321102352,0.746432785,0.754565451,0.457492603,0.747816396,0.983895897,0.992829906,1.282392612,0.999369138,0.978123422,0.999369138,0.978123422,1.071090589,1.180766772,1.14724948,1.164324785,1.358461829,0.968464383,0.733434298,1.109468296,1.663946176,0.744882542,1.071090589,0.998747544,1.376301049,0.840978411,0.995086894,0.744882542,1.168209099,1.362228679,1.357740311,1.177078521,0.983353658,0.426441139,0.739522385,0.754565451,1.180766772,0.707815015,1.355368801,0.494723066,0.756148161,0.966681845
ACH-001356,0.583031092,0.98775739,0.964906976,1.017698242,0.97423869,0.989141672,0.996469331,1.014139618,1.006763781,1.517546753,0.582561508,0.977351122,0.985052743,0.964906976,1.508902872,0.982438208,1.006763781,1.308698921,1.311554199,0.996469331,0.97423869,0.98775739,1.308698921,0.589647298,0.992798564,0.984892934,0.98775739,0.98775739,0.974095328,1.277695702,1.000528097,1.006763781,0.071410035,1.277695702,0.949967814,0.985052743,0.976987024,1.079510013,0.984892934,1.000438066,0.996469331,0.97423869,0.992798564,0.583437449,1.308698921,0.977351122,1.308698921,0.996614981,1.006763781,0.996469331,0.988552778,1.006763781,1.277695702,0.984892934,0.983669485,0.984892934,0.977351122,1.079510013,1.294266069,1.014139618,0.996469331,1.00219016,0.98775739,0.996273824,0.988865303,1.006763781,0.989141672,0.982438208,0.989141672,0.982438208,0.996614981,0.996614981,0.99372421,1.308698921,1.006763781,0.943287231,0.972781699,0.583437449,0.996469331,1.006763781,0.996614981,1.011064103,0.977351122,0.977351122,0.996469331,1.006763781,0.982438208,0.988865303,0.996469331,0.985013655,0.996755157,0.583437449,0.972781699,0.996469331,0.983669485,0.974963091,0.984892934,0.538122184,0.992798564,0.974095328
ACH-000794,1.037703142,0.628559088,0.939472034,1.037703142,1.031665051,1.045511972,1.020127979,1.017367798,0.595572587,1.276831016,1.038611756,0.928830437,1.590640072,0.939472034,1.053388188,0.931054952,0.621585962,0.953176407,1.042452796,0.622340322,1.031665051,1.08336094,0.953176407,1.010463673,1.011036393,1.037703142,0.975685903,0.758474419,1.046812682,1.008283646,1.387998774,2.081984852,0.950224934,0.989728328,1.035702622,1.326519653,0.733203179,1.270422463,1.037703142,0.623953055,1.008358574,1.031665051,1.011036393,0.611928695,0.953176407,0.978056955,0.953176407,0.613681223,0.624930101,1.008358574,0.950224934,0.624930101,0.989728328,1.037703142,1.048043747,1.037703142,0.983679372,1.300060994,1.070131884,1.468222361,1.039294471,1.038261791,0.606942779,1.035983858,1.032559312,2.008426551,1.055580535,1.030631638,1.045511972,0.952232933,0.613681223,1.340929571,1.053242591,0.953176407,1.019129669,0.551700343,0.950224934,0.611928695,0.622340322,0.624930101,0.613681223,1.037852916,1.034971858,1.124656802,1.054656655,0.60151008,0.964184899,1.036724336,1.008358574,0.972837124,1.043808071,0.611928695,0.950224934,1.043231945,1.040126462,1.046362312,1.037703142,0.611928695,1.011036393,1.065562702
ACH-000319,1.252858952,0.938423411,0.687702692,0.816934631,1.199897965,0.947940555,0.935531097,0.925467151,1.203815385,1.014428436,0.940738474,1.181012139,1.233587935,0.687702692,1.199897965,0.930468286,1.203815385,0.927823479,0.940738474,0.939216499,1.199897965,0.938423411,0.930918959,1.037269806,0.935464298,0.939538558,0.938423411,0.938423411,0.924834249,0.924834249,1.037269806,1.014428436,0.923177956,0.924834249,0.908363357,1.223849831,0.917354795,0.948983686,1.389584859,1.333906735,0.935531097,1.199897965,0.935464298,0.85226169,0.930918959,1.142130559,0.930918959,0.692411091,1.203815385,0.938050469,0.923177956,1.203815385,0.924834249,0.939538558,0.865244947,1.273884306,1.142130559,1.22713511,1.206585112,0.936244152,0.935531097,1.091226547,0.938423411,0.933769685,0.933463324,1.014428436,0.944155501,0.930468286,0.944155501,0.909450556,0.692411091,0.944140133,1.240033931,0.930918959,1.031538364,1.185161155,0.923177956,0.85226169,0.939216499,1.203815385,0.545457913,0.940738474,1.181012139,1.142130559,1.277475971,1.203815385,0.698627276,0.933463324,0.938050469,0.922288255,0.924834249,0.840916569,0.923177956,0.935531097,0.944140133,0.94519328,0.939538558,0.503610896,0.935464298,0.924834249
